date,情绪分,标签,有效因子数,f_指数多头,f_科技共振,f_量能,f_宽度,f_涨跌停,fwd1,fwd5,fwd20
2026-03-30,58.23,震荡,4,0.0,,0.4925,1.0,0.8367,-0.009327953338750472,-0.011427954451852629,0.05927454668907717
2026-03-31,49.4,震荡,4,0.0,,0.5347,1.0,0.4412,0.0170823950197585,0.032697772584227236,0.08096483335589122
2026-04-01,60.2,分化,4,0.0,,0.5372,1.0,0.8706,-0.010418030065309614,0.008872361318220001,0.06213785885793821
2026-04-02,49.6,震荡,4,0.0,,0.4517,1.0,0.5323,-0.008512152532686557,0.035198576369213974,0.08890081191778165
2026-04-03,42.02,震荡,4,0.0,,0.4176,1.0,0.2632,-3.88894865052114e-05,0.04624531915939545,0.10352234937355398
2026-04-07,58.34,震荡,4,0.0,,0.4499,1.0,0.8837,0.03489150897571358,0.05870074968424421,0.09712525932774807
2026-04-08,80.68,牛市共振,4,0.5,,0.7588,1.0,0.9683,-0.006382753251184425,0.019516767938417168,0.07752720236680832
2026-04-09,70.78,分化,4,0.5,,0.4831,1.0,0.8481,0.015404808135002224,0.03731398441999234,0.08361894315427443
2026-04-10,74.98,分化,4,0.5,,0.659,1.0,0.8404,0.002068147209394633,0.01986515665528721,0.07802676356022586
2026-04-13,73.13,分化,4,0.5,,0.5417,1.0,0.8835,0.011865532843009508,0.023952560683193846,0.05777734989705263
2026-04-14,87.78,牛市共振,4,1.0,,0.6135,1.0,0.8977,-0.003411259779961817,0.014190443346356663,0.03367356877441807
2026-04-15,83.82,牛市共振,4,1.0,,0.5948,1.0,0.7582,0.010962347679302376,0.024412931622977307,0.031647705870922804
2026-04-16,87.19,牛市共振,4,1.0,,0.5588,1.0,0.9286,-0.0016754818010366046,0.010496879443910867,0.02454826478452099
2026-04-17,88.22,牛市共振,4,1.0,,0.5911,1.0,0.9375,0.006084224584341991,0.008606476288182119,0.025806063588767802
2026-04-20,88.0,牛市共振,4,1.0,,0.6228,1.0,0.8972,0.0022186503212999753,0.0028387104422651355,0.005392751091715997
2026-04-21,83.82,牛市共振,4,1.0,,0.5646,1.0,0.7882,0.006633812898791724,-0.0020530004528106494,0.01617001856335043
2026-04-22,86.59,牛市共振,4,1.0,,0.6184,1.0,0.8452,-0.002770986162049738,0.0022334652255269205,0.025412474761059345
2026-04-23,82.26,牛市共振,4,1.0,,0.6775,1.0,0.6129,-0.003543113317804214,0.004383235555161402,0.0337465429913244
2026-04-24,80.97,牛市共振,4,1.0,,0.6406,1.0,0.5984,0.0003308823591079424,0.0225867204901411,0.029102928672657846
2026-04-27,81.0,牛市共振,4,1.0,,0.615,1.0,0.625,-0.002670036004802201,0.02715664263628681,0.030028923608435232
2026-04-28,79.11,分化,4,1.0,,0.6074,1.0,0.5571,0.010957590906644388,0.023896368723496098,0.028143576648378188
2026-04-29,85.83,牛市共振,4,1.0,,0.6608,1.0,0.7725,-0.000631950278512261,0.029413638118565455,0.007049138328238724
2026-04-30,82.48,牛市共振,4,1.0,,0.6884,1.0,0.6108,0.014516714129485075,0.029276183719412874,0.02231024609641641
2026-05-06,87.42,牛市共振,4,1.0,,0.819,1.0,0.678,0.0048013435543941,0.024860812584020175,0.012654238389375072
2026-05-07,84.17,牛市共振,4,1.0,,0.6931,1.0,0.6736,-0.005835637753443534,0.0028746601016897966,0.000864318238890105
2026-05-08,85.58,牛市共振,4,1.0,,0.6504,1.0,0.773,0.016405139649273703,-0.002528678575118737,-0.011287621316328322
2026-05-11,91.47,牛市共振,4,1.0,,0.8436,1.0,0.815,-0.0007653927837600882,-0.02389273103236078,-0.04810352587159272
2026-05-12,84.88,牛市共振,4,1.0,,0.7167,1.0,0.6783,0.010164657910955333,-0.019232499128696623,-0.029554269548598744
2026-05-13,90.75,牛市共振,4,1.0,,0.739,1.0,0.8908,-0.016754476789772044,-0.029538136618390887,-0.04996627181370972
2026-05-14,77.02,分化,4,1.0,,0.7688,1.0,0.3118,-0.011192046648137222,-0.026756923777129127,-0.03910491462260457
2026-05-15,84.49,牛市共振,4,1.0,,0.7873,1.0,0.5923,-0.005364441345053539,-0.0029831923979967145,-0.016929834469460836
2026-05-18,81.72,牛市共振,4,1.0,,0.6446,1.0,0.6242,0.004005256041260452,0.01822142715468633,0.012038608603491596
2026-05-19,74.7,分化,4,0.5,,0.6599,1.0,0.8282,-0.0004498768896807892,0.01956900590560262,0.006459871113320803
2026-05-20,69.04,分化,4,0.5,,0.6818,1.0,0.5797,-0.013936627703218019,0.011848063166141065,0.016633908508050466
2026-05-21,62.47,分化,4,0.5,,0.8275,1.0,0.1712,0.012961893146399506,0.02741229867439876,0.033137730662238685
2026-05-22,76.2,分化,4,0.5,,0.6775,1.0,0.8706,0.015789533647179166,0.009705835319327782,0.04428449254953826
2026-05-25,77.39,分化,4,0.5,,0.786,1.0,0.8095,0.005334020210592705,-0.015714775857122998,-0.0004493256599980011
2026-05-26,72.45,分化,4,0.5,,0.7965,1.0,0.6017,-0.00801922160402091,-0.00672821623730524,-0.0009761008687148021
2026-05-27,82.71,牛市共振,4,1.0,,0.7964,1.0,0.512,0.0012309879805745272,0.006242182169921895,0.022805316049068658
2026-05-28,77.38,分化,4,0.5,,0.7163,1.0,0.879,-0.004495531360024674,-0.001926635948016453,-0.009359137911250204
2026-05-29,69.73,分化,4,0.5,,0.8298,1.0,0.4596,-0.009784242267255161,-0.015371941002362277,0.00711341724090131
2026-06-01,75.14,分化,4,0.5,,0.6996,1.0,0.8062,0.014512756098171264,-0.026963853847844166,0.02790463822759448
2026-06-02,74.85,分化,4,0.5,,0.7095,1.0,0.7846,0.004934318523100112,-0.022941732453680475,0.009038084413309555
